,seed,speciation_rate,species_richness,time
321,6,0.001,1353,10.0
322,6,0.001,1656,20.0
323,6,0.001,1921,30.0
324,6,0.001,2158,40.0
325,6,0.001,2397,50.0
326,6,0.001,2590,60.0
327,6,0.001,2776,70.0
328,6,0.001,2835,80.0
329,6,0.001,2959,90.0
330,6,0.001,3008,100.0
331,6,0.001,2935,110.0
332,6,0.001,2947,120.0
333,6,0.001,2984,130.0
334,6,0.001,2969,140.0
335,6,0.001,2996,150.0
336,7,0.0001,648,0.0
337,7,0.0001,815,10.0
338,7,0.0001,934,20.0
339,7,0.0001,1028,30.0
340,7,0.0001,1108,40.0
341,7,0.0001,1184,50.0
342,7,0.0001,1196,60.0
343,7,0.0001,1244,70.0
344,7,0.0001,1263,80.0
345,7,0.0001,1296,90.0
346,7,0.0001,1312,100.0
347,7,0.0001,1343,110.0
348,7,0.0001,1339,120.0
349,7,0.0001,1340,130.0
350,7,0.0001,1349,140.0
351,7,0.0001,1340,150.0
352,7,0.0005,878,0.0
353,7,0.0005,1180,10.0
354,7,0.0005,1451,20.0
355,7,0.0005,1637,30.0
356,7,0.0005,1824,40.0
357,7,0.0005,1938,50.0
358,7,0.0005,2046,60.0
359,7,0.0005,2148,70.0
360,7,0.0005,2215,80.0
361,7,0.0005,2300,90.0
362,7,0.0005,2272,100.0
363,7,0.0005,2310,110.0
364,7,0.0005,2343,120.0
365,7,0.0005,2343,130.0
366,7,0.0005,2367,140.0
367,7,0.0005,2366,150.0
368,7,0.001,973,0.0
369,7,0.001,1364,10.0
370,7,0.001,1702,20.0
371,7,0.001,1979,30.0
372,7,0.001,2217,40.0
373,7,0.001,2396,50.0
374,7,0.001,2591,60.0
375,7,0.001,2705,70.0
376,7,0.001,2828,80.0
377,7,0.001,2943,90.0
378,7,0.001,2927,100.0
379,7,0.001,2935,110.0
380,7,0.001,2964,120.0
381,7,0.001,2973,130.0
382,7,0.001,3015,140.0
383,7,0.001,2990,150.0
384,8,0.0001,647,0.0
385,8,0.0001,835,10.0
386,8,0.0001,977,20.0
387,8,0.0001,1071,30.0
388,8,0.0001,1109,40.0
389,8,0.0001,1168,50.0
390,8,0.0001,1226,60.0
391,8,0.0001,1260,70.0
392,8,0.0001,1304,80.0
393,8,0.0001,1353,90.0
394,8,0.0001,1351,100.0
395,8,0.0001,1357,110.0
396,8,0.0001,1359,120.0
397,8,0.0001,1352,130.0
398,8,0.0001,1365,140.0
399,8,0.0001,1340,150.0
400,8,0.0005,872,0.0
401,8,0.0005,1216,10.0
402,8,0.0005,1461,20.0
403,8,0.0005,1659,30.0
404,8,0.0005,1796,40.0
405,8,0.0005,1968,50.0
406,8,0.0005,2081,60.0
407,8,0.0005,2189,70.0
408,8,0.0005,2305,80.0
409,8,0.0005,2358,90.0
410,8,0.0005,2390,100.0
411,8,0.0005,2376,110.0
412,8,0.0005,2386,120.0
413,8,0.0005,2402,130.0
414,8,0.0005,2417,140.0
415,8,0.0005,2367,150.0
416,8,0.001,968,0.0
417,8,0.001,1385,10.0
418,8,0.001,1696,20.0
419,8,0.001,1999,30.0
420,8,0.001,2175,40.0
421,8,0.001,2419,50.0
422,8,0.001,2573,60.0
423,8,0.001,2722,70.0
424,8,0.001,2879,80.0
425,8,0.001,2980,90.0
426,8,0.001,3035,100.0
427,8,0.001,3039,110.0
428,8,0.001,3010,120.0
429,8,0.001,3024,130.0
430,8,0.001,3040,140.0
431,8,0.001,3011,150.0
432,9,0.0001,686,0.0
433,9,0.0001,861,10.0
434,9,0.0001,1008,20.0
435,9,0.0001,1101,30.0
436,9,0.0001,1175,40.0
437,9,0.0001,1217,50.0
438,9,0.0001,1299,60.0
439,9,0.0001,1310,70.0
440,9,0.0001,1329,80.0
441,9,0.0001,1376,90.0
442,9,0.0001,1386,100.0
443,9,0.0001,1372,110.0
444,9,0.0001,1376,120.0
445,9,0.0001,1379,130.0
446,9,0.0001,1395,140.0
447,9,0.0001,1396,150.0
448,9,0.0005,905,0.0
449,9,0.0005,1211,10.0
450,9,0.0005,1476,20.0
451,9,0.0005,1685,30.0
452,9,0.0005,1859,40.0
453,9,0.0005,2024,50.0
454,9,0.0005,2153,60.0
455,9,0.0005,2237,70.0
456,9,0.0005,2288,80.0
457,9,0.0005,2415,90.0
458,9,0.0005,2409,100.0
459,9,0.0005,2393,110.0
460,9,0.0005,2348,120.0
461,9,0.0005,2333,130.0
462,9,0.0005,2363,140.0
463,9,0.0005,2386,150.0
464,9,0.001,1013,0.0
465,9,0.001,1373,10.0
466,9,0.001,1732,20.0
467,9,0.001,2004,30.0
468,9,0.001,2249,40.0
469,9,0.001,2459,50.0
470,9,0.001,2658,60.0
471,9,0.001,2756,70.0
472,9,0.001,2830,80.0
473,9,0.001,3020,90.0
474,9,0.001,3015,100.0
475,9,0.001,3015,110.0
476,9,0.001,2998,120.0
477,9,0.001,2997,130.0
478,9,0.001,3008,140.0
479,9,0.001,3024,150.0
